,GDPR,IFM,LER,CDR,GHE,PHE
1990,11.78,124.3,45.9,18.58,20.13,56.83
1991,0.36,124,45.88,18.55,20.57,57.57
1992,4.63,123.7,45.86,18.52,21.01,58.31
1993,-2.04,123.1,45.85,18.49,21.45,59.04
1994,-1.81,122.4,45.84,18.45,21.89,59.78
1995,-0.07,121.3,45.85,18.41,22.33,60.52
1996,4.2,119.8,45.88,18.35,22.77,61.26
1997,2.94,117.9,45.92,18.28,23.21,61.99
1998,2.58,115.5,45.99,18.18,23.65,62.73
1999,0.58,112.8,46.1,18.06,24.09,63.47
2000,5.02,110,46.27,17.9,13.97,60.16
2001,5.92,107,46.51,17.68,21.84,60.75
2002,15.33,104,46.84,17.4,15.42,65.05
2003,7.35,101,47.24,17.06,28.64,72.81
2004,9.25,98.1,47.72,16.68,39.44,64.55
2005,6.44,95.2,48.25,16.27,40.37,65.97
2006,6.06,92.5,48.81,15.84,33.27,70.46
2007,6.59,90.1,49.37,15.41,30.88,70.94
2008,6.76,88,49.91,15,28.6,72.76
2009,8.04,86.1,50.42,14.62,27.2,74.47
2010,8.01,84.6,50.9,14.27,22.69,76.88
2011,5.31,83.3,51.35,13.94,25.22,74.73
2012,4.23,82.2,51.79,13.62,29.45,72.84
2013,6.67,81.2,52.23,13.31,27.88,70.93
2014,6.31,80.4,52.67,12.99,26.8,71.85
2015,2.65,79.5,53.11,12.69,35.77,71.89
2016,-1.62,78.5,53.54,12.39,27.94,75.19
2017,0.81,77.3,53.95,12.11,31.36,77.22
2018,1.92,75.7,54.33,11.86,34.64,76.6
2019,2.21,74.2,54.69,11.63,32.89,78.22
